approved;comments;date;group_ids;likes;post;text;views;city;city_id;country;country_id;description;main_section;members_count;name;verified
0;0;1548080237;54013086;8;wall-54013086_3791903; марта в филармония шесть рукопожатий спешит провести розыгрыш приз билет на концерт победителей будет условия розыгрыша быть подписчиком группы сделать репост этой записи розыгрыш состоится января в всем удачи ;1019;Чита;161;Россия;1;всеми любимая группа о нашем городе просьба ознакомиться с правилами сообщества во избежание возникновения неприятных ситуаций ;5;64534;шесть рукопожатий чита ;0
1;0;1548080359;146199548;1;wall-146199548_112; конкурс розыгрыш призов февраля для участия быть подписанным на нашу группу сделать к себе на стену репост записи о конкурсе не удалять репост до момента выбора победителей призы место коронка подрозетник и набор шаблонов место коронка подрозетник и шаблон с я отверстиями место комплект шаблонов победитель будет определен с помощью генератора случайных чисел ;5;Подольск;270;Россия;1;добро пожаловать в официальную группу дилера по продаже оборудования для сухого сверления по технологии даймонд хит здесь вы найдете информацию о новинках полезные советы и отзывы клиентов ;35;329; интернет магазин;0
1;0;1548080545;62257774;16;wall-62257774_18785;внимание пицца за репост не упусти свой шанс выиграть пиццу тропический дуэт см выигрыш действителен в течение часов с момента объявления победителя условия конкурса тебе нужно сделать репост этого поста у себя на странице и вступить в нашу группу если вас еще нет у нас завтра в мы с помощью программы выберем победителя победитель сможет забрать свой приз по адресу новая а в кафе мафия всем удачи ;236;Северодвинск;11;Россия;1;будем рады каждый день удивлять вас самой итальянской пиццей самыми вкусными роллами и самым правильным мясом пн чт с до пт с до сб с до вс с до последние заявки принимаются за мин до закрытия ;35;13343; северодвинск доставка пицца мясо суши;0
0;1;1548080482;9711806;8;wall-9711806_22152;конкурс в честь приближающегося дня студента жизнь студента это не только зачеты экзамены и курсовые но море забавных моментов расскажите нам свою смешную историю о студенческих годах и выиграйте один из х призов подарочную карту серебряного города на руб подарочную карту серебряного города на руб сертификат в цр а условия участия вступите в группу трц серебряный город г иваново сделайте репост этой записи расскажите в комментариях к этой записи вашу веселую историю связанную со студенческой жизнью января мы выберем самые веселые истории и объявим имена победителей удачи конкурс деньстудента;336;Иваново;55;Россия;1; серебряный город торгово развлекательный центр регионального масштаба был открыт для посетителей в году для жителей и гостей города это одно из любимейших мест для шопинга и развлечений для быстрого поиска нужных вам новостей воспользуйтесь нашими рубрикаторами новости мероприятия стиль доброеутро конкурс отподписчика серебряныйпарк ;35;25146;трц серебряный город г иваново;0
0;2;1548080481;154036464;15;wall-154036464_2278;и снова ожидается сказочное вязание пряничные домики связали вяжем сказкадом и теперь самое время сказочных героев и персонажей творить вязать чтобы было весело играть вяжем сказки и сначала немного закулисья из творческой мастерской ольги покажу вам начало и загадаю загадку а за правильный ответ вы получаете приз это скидка на он лайн вязание сказочных героев угадал один момент лови скидку угадал ещ один признак ещ скидка а загадка будет не одна а целая серия так что следите за новостями группы отгадывайте пишите свои ответы и варианты и собирайте скидки на участие в совместнике скидка до на мк записаться можно тут и я вам сообщу о начале он лайна начало вязания ориентировочно после февраля а пока играем и загадка о какого цвета и кто это будет все ответы озвучу января дополнительно скидку получат ещ и те кто сделает репост до начала он лайна всех загадок себе на страницу так что активность приветствуется и награждается вяжем сказки;52;None;None;None;None;творим вместе красоту место встречи творческих людей;5;737;вязаный дружок;0
0;235;1548080449;163211113;11;wall-163211113_167806; поиграем мы в игру будем цифры мы писать и подарки выгравать правила игры просты просто ставим цифры мы зделаем репост игры цифры ставим по порядку чтобы было вс в нас гладко будем цифры ставить через мин тоесть один участник может ставить следующую цифру через мин и сегодня посчитаем мы до цифры приз получит тот участник кто первый в порядке очереди поставит приз сегодня в нас такой сч т пополнем мы твой на гр мы желаем вам удачи ;65;Киев;314;Украина;2; уважаемые участники это группа для тех кто планирует или уже с детьми здесь мы обсуждаем все что интересно и делимся опытом и просто общаемся здесь будут проводиться и конкурсы и игры фото батлы и простое общения и полезная информация мы постараемся учесть ваши пожелания ваши предложения и идеи по улучшению комфорта нашей группы скидывать админам в лс приятного досуга вам девчата самое главное здесь вы можете с нами поделиться вашими радостями и проблемами здесь вас всегда выслушают и помогут советами не боясь осуждения как говориться все мы люди и каждый делает какие то ошибки приводите подруг знакомых к нам в группу будем знакомиться и дружить мы постараемся обеспечить всем хорошее настроение и приятное общение по возможности новые вступившие пусть напишут на стену приветствие и немножко о себе чтобы мы могли их поприветствовать и познакомиться ;2;2600;детские пособия мамы украины;0
0;2;1548080400;117959773;8;wall-117959773_6580; термокружку получит один из наших подписчиков который подпишется на салоны группа компаний мобайл ижевск бесплатно за репост бесплатная россия ижевск сделает репост этой записи победителя будем выбирать февраля а также первым кто оставит комментарий и сделает репост спонсор дарит спиннер ваша страница должна быть открытой на аватаре стоять ваша фотография фамилия и имя профиля соответствовать вашему паспорту в конкурсе могут участвовать жители ижевска и ур которые сами смогут забрать приз ;89;Ижевск;56;Россия;1;по всем вопросам пишите елене хотите разместить ваш розыгрыш хотите помощи в раскрутке вашей услуги или товара вы попали по нужному адресу напишем пост с условием вступить в вашу группу опубликуем определим победителя в качестве бонуса подарим репоста из вашей группы реклама в группе предоставляется платно репост с вашей группы со стены платно благодарим всех за сотрудничество размещение конкурса рублей репост рублей бесплатный ижевск бесплатные подарки подарок смотреть бесплатно день подарок хороший подарок дари подарок бесплатные подарки подарок смотреть бесплатно сентября года;2;10948;бесплатно за репост бесплатная россия ижевск;0
0;2;1548080389;48075532;27;wall-48075532_10439; выиграй билеты на концерт король и шут лет февраля в приз билета выберем с помощью февраля в билеты получит счастливчик сделавший репост и вступивший в группы русское радио воронеж и воронеж медиа программа этого памятного мероприятия носит символическое название камнем по голове а зрителей ждут все нетленные хиты короля и шута с главных альбомов культовой группы в исполнении команды андрея князева при поддержке фонда памяти михаила горшен ва основанного его вдовой ольгой русскоерадиоворонеж ;485;Воронеж;42;Россия;1;русское радио первая в мире радиостанция реализовавшая уникальный принцип вещания только на русском языке любимые песни и горячие новинки отечественной музыки каждый день часа в сутки на частоте в воронеже телефон программы стол заказов телефон службы рекламы русского радио в воронеже русскоерадиоворонеж русскаямузыка столзаказов воронеж всебудетхорошо;2;5946;русское радио воронеж ;0
0;0;1548081751;114125042;13;wall-114125042_6539; ураааа у нас зимний конкурс репостов для наших любимых клиентов приз подарочный сертификат на рублей правила сделать репост этой записи вступить в группу сочный персик результаты объявим февраля г всем удачи ждем вас тц перекресток тц плаза этаж;106;Арзамас;20;Россия;1;эта группа для тех кто хочет выглядеть красиво модно и женственно в любой ситуации в любое время и в любом месте у нас в магазинах вас всегда ждет широкий ассортимент молодежной и женской одежды на любой вкус цвет и размер а так же различные модели нижнего белья купальников корректирующего белья эротических костюмов корсетов домашней одежды и многого многого другого приходите мы находимся в тц перекресток и в тц плаза на этаже ;35;1632; сочный персик арзамас;0
0;0;1548081725;143431238;1;wall-143431238_6529; жители химок активно участвуют во всероссийской акции двор для птиц муниципальное предприятие дез жку проводит конкурс на лучший скворечник в рамках всероссийской экологической акции двор для птиц главной целью является привлечение внимания жителей каждого двора к активности по охране окружающей среды и бережному отношению к живой природе первые конкурсанты уже присылают свои работы управляющей компании одни из первых конкурсантов решили поделиться своими работами жители домов и в ивакино уже на протяжении нескольких лет обустраивают свой двор для проживания птиц жильцы самостоятельно вместе с детьми мастерят разнообразные кормушки в их двор теперь регулярно прилетают подкормиться синицы скворцы снегири воробьи голуби мухоловки и даже сойки в нашем дворе домики и кормушки располагаются почти на каждом дереве жители сами регулярно подкармливают птиц кто то кормом кто то обычными продуктами например хлебом за несколько лет по всей территории наших домов повесили скворечников синичников домик для мухоловки кормушек установленных на земле и отдельный домик для белок кроме того жители вешают небольшие кормушки на своих подоконниках прокомментировал алексей кузин житель дома в ивакино акция двор для птиц проходит в рамках федерального проекта городская среда во всех городах россии она призвана помочь создать необходимые условия для выживания пернатых для жителей химок муниципальная управляющая компания дез жку решила провести специальный конкурс на самую интересную кормушку в городском округе активно ведется благоустройство дворовых территорий только в прошлом году было комплексно обустроено двора мы бы хотели призвать жителей выйти вместе с детьми смастерить либо купить готовые кормушки или скворечники и разместить их во дворах химок таким образом вы не только украсите двор но и поможете птицам пережить грядущие морозы за самые яркие работы участников ждут призы прокомментировал директор мп дез жку руслан гаевский акция двор для птиц проводится до января включительно фотографии готовой работы принимаются любым удобным способом на почту управляющей компании или в личные сообщения в группу официальных аккаунтов социальных сетей вк с пометкой конкурс и указанием фио адреса и материалов из которого изготовлен домик дезжку жкх химки нашеподмосковье жкхменяется городскаясреда двордляптиц;78;Химки;155;Россия;1;официальная страница муниципальной управляющей компании г о химки дирекция единого заказчика жилищно коммунальных услуг убедительная просьба соблюдать в группе правила элементарной вежливости все комментарии содержащие оскорбления будут удаляться пользователь отправится в черный список за оскорбление участников или администрации группы использование ненормативной лексики публикацию коммерческой рекламы ;35;1217;муниципальное предприятие дез жку ;0
